,Train Project,Train Size,Test Project,Test Size,Average Validation Score (15*15 fold),Average f1 score (10 Tests)
0,Core,200,Firefox,100.0,0.9299999999999999,0.827
1,Core,200,Thunderbird,100.0,0.9299999999999999,0.772
2,Core,200,Bugzilla,100.0,0.9299999999999999,0.481
3,Core,200,SeaMonkey,100.0,0.9299999999999999,0.616
4,Core,400,Firefox,200.0,0.945,0.8089999999999999
5,Core,400,Thunderbird,200.0,0.945,0.715
6,Core,400,Bugzilla,200.0,0.945,0.511
7,Core,400,SeaMonkey,200.0,0.945,0.5980000000000001
8,Core,800,Firefox,400.0,0.96875,0.8219999999999998
9,Core,800,Thunderbird,400.0,0.96875,0.727
10,Core,800,Bugzilla,400.0,0.96875,0.515
11,Core,800,SeaMonkey,400.0,0.96875,0.5969999999999999
12,Core,1600,Firefox,800.0,0.975625,0.819
13,Core,1600,Thunderbird,800.0,0.975625,0.661
14,Core,1600,Bugzilla,800.0,0.975625,0.515
15,Core,1600,SeaMonkey,800.0,0.975625,0.6319999999999999
16,Firefox,200,Core,100.0,0.9199999999999999,0.786
17,Firefox,200,Thunderbird,100.0,0.9199999999999999,0.665
18,Firefox,200,Bugzilla,100.0,0.9199999999999999,0.49000000000000005
19,Firefox,200,SeaMonkey,100.0,0.9199999999999999,0.611
20,Firefox,400,Core,200.0,0.9349999999999999,0.818
21,Firefox,400,Thunderbird,200.0,0.9349999999999999,0.6990000000000001
22,Firefox,400,Bugzilla,200.0,0.9349999999999999,0.526
23,Firefox,400,SeaMonkey,200.0,0.9349999999999999,0.691
24,Firefox,800,Core,400.0,0.9737499999999999,0.829
25,Firefox,800,Thunderbird,400.0,0.9737499999999999,0.7729999999999999
26,Firefox,800,Bugzilla,400.0,0.9737499999999999,0.5439999999999999
27,Firefox,800,SeaMonkey,400.0,0.9737499999999999,0.67
28,Firefox,1600,Core,800.0,0.974375,0.817
29,Firefox,1600,Thunderbird,800.0,0.974375,0.708
30,Firefox,1600,Bugzilla,800.0,0.974375,0.525
31,Firefox,1600,SeaMonkey,800.0,0.974375,0.6719999999999999
32,Thunderbird,400,Core,200.0,0.925,0.718
33,Thunderbird,400,Firefox,200.0,0.925,0.7410000000000001
34,Thunderbird,400,Bugzilla,200.0,0.925,0.5780000000000001
35,Thunderbird,400,SeaMonkey,200.0,0.925,0.6609999999999999
36,Thunderbird,800,Core,400.0,0.93625,0.736
37,Thunderbird,800,Firefox,400.0,0.93625,0.741
38,Thunderbird,800,Bugzilla,400.0,0.93625,0.55
39,Thunderbird,800,SeaMonkey,400.0,0.93625,0.6610000000000001
40,Thunderbird,1600,Core,800.0,0.9456249999999999,0.7230000000000001
41,Thunderbird,1600,Firefox,800.0,0.9456249999999999,0.754
42,Thunderbird,1600,Bugzilla,800.0,0.9456249999999999,0.593
43,Thunderbird,1600,SeaMonkey,800.0,0.9456249999999999,0.675
44,Bugzilla,200,Core,100.0,0.9049999999999999,0.5549999999999999
45,Bugzilla,200,Firefox,100.0,0.9049999999999999,0.608
46,Bugzilla,200,Thunderbird,100.0,0.9049999999999999,0.663
47,Bugzilla,200,SeaMonkey,100.0,0.9049999999999999,0.571
48,Bugzilla,800,Core,400.0,0.9575000000000001,0.63
49,Bugzilla,800,Firefox,400.0,0.9575000000000001,0.6649999999999998
50,Bugzilla,800,Thunderbird,400.0,0.9575000000000001,0.69
51,Bugzilla,800,SeaMonkey,400.0,0.9575000000000001,0.5700000000000001
52,Bugzilla,1600,Core,800.0,0.976875,0.658
53,Bugzilla,1600,Firefox,800.0,0.976875,0.6699999999999999
54,Bugzilla,1600,Thunderbird,800.0,0.976875,0.732
55,Bugzilla,1600,SeaMonkey,800.0,0.976875,0.5740000000000001
56,SeaMonkey,100,Core,50.0,0.9100000000000001,0.6769999999999999
57,SeaMonkey,100,Firefox,50.0,0.9100000000000001,0.597
58,SeaMonkey,100,Thunderbird,50.0,0.9100000000000001,0.6929999999999998
59,SeaMonkey,100,Bugzilla,50.0,0.9100000000000001,0.5399999999999999
60,SeaMonkey,400,Core,200.0,0.93,0.748
61,SeaMonkey,400,Firefox,200.0,0.93,0.7529999999999999
62,SeaMonkey,400,Thunderbird,200.0,0.93,0.769
63,SeaMonkey,400,Bugzilla,200.0,0.93,0.5720000000000001
64,SeaMonkey,800,Core,400.0,0.9550000000000001,0.733
65,SeaMonkey,800,Firefox,400.0,0.9550000000000001,0.7449999999999999
66,SeaMonkey,800,Thunderbird,400.0,0.9550000000000001,0.7529999999999999
67,SeaMonkey,800,Bugzilla,400.0,0.9550000000000001,0.5680000000000001
68,SeaMonkey,1600,Core,800.0,0.9706250000000001,0.732
69,SeaMonkey,1600,Firefox,800.0,0.9706250000000001,0.741
70,SeaMonkey,1600,Thunderbird,800.0,0.9706250000000001,0.7649999999999999
71,SeaMonkey,1600,Bugzilla,800.0,0.9706250000000001,0.575
