Add-on SDK Graveyard,2
Bugzilla,715
Calendar,96
Camino Graveyard,15
Chat Core,48
Cloud Services,58
Cloud Services Graveyard,4
Community Building,3
Conduit,37
Core,9116
Core Graveyard,60
Data Compliance,1
Data Platform and Tools,166
Data Science,57
DevTools,2802
DevTools Graveyard,30
Developer Documentation,36
Developer Engagement,5
Developer Services,78
Enterprise Information Security,6
External Software Affecting Firefox,9
Firefox,3867
Firefox Build System,953
Firefox Graveyard,13
Firefox for Android,223
Firefox for Android Graveyard,2
Firefox for iOS,21
Focus-iOS,3
GeckoView,119
Infrastructure & Operations,496
Infrastructure & Operations Graveyard,38
Instantbird,8
Internet Public Policy,1
Invalid Bugs,1
L20n,5
Localization Infrastructure and Tools,28
MailNews Core,406
Marketing,128
Marketplace Graveyard,1
MozReview Graveyard,2
Mozilla Foundation,1
Mozilla Foundation Communications,21
Mozilla Labs,2
Mozilla Localizations,9
NSPR,6
NSS,55
Other Applications,30
Participation Infrastructure,43
Penelope Graveyard,9
Release Engineering,147
Remote Protocol,175
SeaMonkey,687
Shield,29
Snippets,3
Socorro,101
Tamarin Graveyard,1
Taskcluster,310
Taskcluster Graveyard,2
Testing,801
Testing Graveyard,2
Thunderbird,785
Toolkit,1558
Toolkit Graveyard,5
Tree Management,264
User Research,1
Web Compatibility,7
WebExtensions,509
Websites,1
Webtools,22
addons.mozilla.org Graveyard,1
bugzilla.mozilla.org,342
developer.mozilla.org,52
mozilla.org,70
mozilla.org Graveyard,5
support.mozilla.org,29
support.mozilla.org - Lithium,1
www.mozilla.org,17
